beneficiaire_normalise,ode_thematique,ode_sous_categorie,ode_confiance,ode_date_recherche,ode_source
REZOSOCIAL,Social - Solidarité,Aide numérique et sociale pour personnes en précarité,0.85,2026-02-18,llm_claude
RIVP,Logement,Régie Immobilière de la Ville de Paris - logement social,0.95,2026-02-18,llm_claude
RÉGIE AUTONOME DES TRANSPORTS PARISIENS,Transport,RATP - Transports en commun parisiens,1.0,2026-02-18,llm_claude
RÉGIE DE QUARTIER DU 19EME,Économie,Insertion par l'activité économique (IAE),0.9,2026-04-20,llm_gemini
SA D H L M FRANCE HABITATION,Logement,SA d'HLM - logement social,0.97,2026-02-18,llm_claude
SA D HLM TOIT ET JOIE,Logement,SA d'HLM Toit et Joie - logement social,0.99,2026-02-18,llm_claude
SA D'H L M FRANCE HABITATION,Logement,Logement social / HLM,1.0,2026-04-20,llm_gemini
SA D'HLM TOIT ET JOIE,Logement,Bailleur social (HLM),1.0,2026-04-20,llm_gemini
SA HLM LOGIS TRANSPORTS,Logement,SA HLM – logement social lié aux transports,0.9,2026-02-18,llm_claude
SA HLM PIERRES ET LUMIERES,Logement,Bailleur social HLM,1.0,2026-04-20,llm_gemini
SA IMMO MOULIN VERT SA HAB,Logement,Bailleur social et HLM,1.0,2026-04-20,llm_gemini
SAEM EXPLOITATION STATIONNEM VILLE,Transport,Société d'exploitation de stationnement de la Ville de Paris,0.95,2026-02-18,llm_claude
SAFE,Santé,Réduction des risques et addictions,0.95,2026-04-20,llm_gemini
SALLE SAINT BRUNO,Culture,Salle Saint-Bruno - espace culturel et associatif (18e),0.75,2026-02-18,llm_claude
SAMU SOCIAL DE PARIS,Social - Solidarité,Aide d'urgence aux personnes sans abri,1.0,2026-04-20,llm_gemini
SAMU-SOCIAL DE PARIS,Social - Solidarité,Hébergement d'urgence et aide aux sans-abri,1.0,2026-04-20,llm_gemini
SANTE DAVIEL ASD,Santé,Centre de santé,1.0,2026-04-20,llm_gemini
SANTE MENTALE LUTTE CONTRE,Santé,Santé mentale,1.0,2026-04-20,llm_gemini
SARL DES AUTEURS REALIS PRODUCT,Culture,Production audiovisuelle / cinéma (SARL des Auteurs Réalisateurs Producteurs),0.9,2026-02-18,llm_claude
SBC INSERTION,Économie,Insertion professionnelle,0.8,2026-02-18,llm_claude
SCI MAKOVEC SCHLAPPI,Logement,Gestion immobilière (SCI),0.85,2026-04-20,llm_gemini
SCIC D HLM GAMBETTA,Logement,SCIC d'HLM - logement social coopératif,0.97,2026-02-18,llm_claude
SCIENCE TECHNOLOGIE ET SOCIETE,Éducation,Diffusion de la culture scientifique et technologique,0.75,2026-02-18,llm_claude
SCINTILLO,Culture,Ingénierie et entrepreneuriat culturel,0.85,2026-04-20,llm_gemini
SCIRE SCIEN CREAT INTERDISC RECH ED,Éducation,Recherche interdisciplinaire en éducation (SCIRE - Sciences Création Interdisciplinaire Recherche Éducation),0.8,2026-02-18,llm_claude
SDT MIXTE DES PARCS DU TREMBLAY,Sport,Syndicat mixte - gestion de parcs sportifs,0.7,2026-02-18,llm_claude
SECOURS CATHOLIQUE,Social - Solidarité,Lutte contre la pauvreté et exclusion,1.0,2026-04-20,llm_gemini
SECOURS POPULAIRE FRANCAIS,Social - Solidarité,Lutte contre la pauvreté et aide alimentaire,1.0,2026-04-20,llm_gemini
SEMAEST,Économie,Société d'économie mixte - commerce et aménagement économique,0.92,2026-02-18,llm_claude
SEQENS STE A HABITAT LOYER MODERE,Logement,SEQENS - société HLM / habitat à loyer modéré,0.98,2026-02-18,llm_claude
SEQENS STE A HABITATLOYER MODERE,Logement,Logement social (HLM),1.0,2026-04-20,llm_gemini
SEQENS STE A. HABITAT.LOYER MODERE,Logement,Bailleur social (HLM),1.0,2026-04-20,llm_gemini
SEQUENS SOLIDARITES,Social - Solidarité,Accompagnement social et solidarités,0.9,2026-02-18,llm_claude
SIDACTION,Santé,Lutte contre le VIH/SIDA - prévention et recherche,0.97,2026-02-18,llm_claude
SIERRA PROD,Culture,Production audiovisuelle / spectacle vivant,0.7,2026-02-18,llm_claude
SIMPLON CO,Éducation,Formation au numérique et inclusion digitale,0.92,2026-02-18,llm_claude
SIMPLON.CO,Éducation,Formation professionnelle au numérique,0.95,2026-04-20,llm_gemini
SINGA FRANCE,Social - Solidarité,Inclusion des réfugiés et nouveaux arrivants,0.9,2026-02-18,llm_claude
SIPRHEM STE IMMOB POUR  RESIDENCES,Logement,Résidences sociales et spécifiques,0.95,2026-04-20,llm_gemini
SIPRHEM STE IMMOB POUR RESIDENCES,Logement,Société immobilière pour résidences,0.85,2026-02-18,llm_claude
SISA DES ENVIERGES,Santé,Maison de santé (SISA),1.0,2026-04-20,llm_gemini
SM AUTOLIB ET VELIB METROPOLE,Transport,Syndicat mixte Autolib' et Vélib' Métropole - mobilité urbaine,0.95,2026-02-18,llm_claude
SM AUTOLIB' ET VELIB' METROPOLE,Transport,Mobilité partagée et vélos en libre-service,1.0,2026-04-20,llm_gemini
SNCF GARES & CONNEXIONS,Transport,Infrastructures ferroviaires,1.0,2026-04-20,llm_gemini
SNCF GARES CONNEXIONS,Transport,Gestion de gares et mobilité ferroviaire,0.95,2026-02-18,llm_claude
SNCF RESEAU,Transport,Infrastructure ferroviaire,0.95,2026-02-18,llm_claude
SNCF VOYAGEURS,Transport,Transport ferroviaire de voyageurs,0.95,2026-02-18,llm_claude
SNL PROLOGUES,Logement,Logement social et insertion par le logement,0.9,2026-02-18,llm_claude
SOC ECONOMIE MIXTE ANIM ECO SCE TER,Économie,SEM d'animation économique et de services aux territoires (SEMAEST),0.92,2026-02-18,llm_claude
SOC GESTION MAINTENAN AMENAGEM CONS,Administration,Société de gestion et maintenance d'aménagement (copropriété/ASL),0.6,2026-02-18,llm_claude
SOC PHILANTHROPIQUE,Social - Solidarité,Société philanthropique - aide sociale et solidarité,0.9,2026-02-18,llm_claude
SOC PUBLIQUE LOCALE CARREAU TEMPLE,Culture,"Gestion du Carreau du Temple, lieu culturel et événementiel parisien",0.9,2026-02-18,llm_claude
SOC REQUALICATION QUARTIERS ANCIENS,Logement,Société de requalification des quartiers anciens (SOREQA) - réhabilitation habitat,0.9,2026-02-18,llm_claude
SOC RET CONSE MUN PARIS CONS GEN SE,Administration,Société de retraite des conseillers municipaux de Paris et conseillers généraux de la Seine,0.9,2026-02-18,llm_claude
SOCIAL BUILDER,Économie,Insertion professionnelle et numérique,0.95,2026-04-20,llm_gemini
SOCIETE CIVILE DE MOYENS,Administration,Structure de gestion (SCM),0.7,2026-04-20,llm_gemini
SOCIETE D ECONOMIE MIXTE,Économie,Société d'économie mixte - développement économique local,0.6,2026-02-18,llm_claude
SOCIETE D'ECONOMIE MIXTE,Administration,Société d'économie mixte / Gestion publique,0.85,2026-04-20,llm_gemini
SOCIETE DE PRODUCTION AG,Culture,Production audiovisuelle et cinématographique,0.9,2026-04-20,llm_gemini
SOCIETE PUBLIQUE LOCALE LE CARREAU DU TEMPLE,Culture,Équipement culturel pluridisciplinaire,1.0,2026-04-20,llm_gemini
SOLIDARITE CHRETIENNE,Social - Solidarité,Solidarité et entraide d'inspiration chrétienne,0.85,2026-02-18,llm_claude
SOLIDARITE ROQUETTE,Social - Solidarité,"Solidarité de quartier, aide aux personnes en difficulté",0.8,2026-02-18,llm_claude
SOLIDARITE SIDA,Santé,Lutte contre le VIH/SIDA,0.95,2026-02-18,llm_claude
SOLIDARITE THERAPEUT ET INITIATIVES,Santé,Solidarité thérapeutique - prévention et soins,0.85,2026-02-18,llm_claude
SOLIDARITE THERAPEUTIQ INITIATIVE S,Santé,Solidarité thérapeutique et accès aux soins,0.95,2026-04-20,llm_gemini
SOLIDEO,Sport,SOLIDEO - Société de livraison des ouvrages olympiques (JO 2024),0.95,2026-02-18,llm_claude
SOLIHA GRAND PARIS,Logement,Amélioration de l'habitat et lutte contre le mal-logement,0.95,2026-02-18,llm_claude
SOLIHA PARIS HAUTS DE SEINE VAL D O,Logement,Amélioration de l'habitat et lutte contre le mal-logement (SOLIHA),0.95,2026-02-18,llm_claude
SOLINUM,Social - Solidarité,Outils numériques pour l'orientation des précaires,0.95,2026-04-20,llm_gemini
SORBONNE UNIVERSITE,Éducation,Université,0.98,2026-02-18,llm_claude
SOS MEDITERRANEE FRANCE,International,Sauvetage en mer / aide aux réfugiés en Méditerranée,0.9,2026-02-18,llm_claude
SOUTIEN DU THEATRE PRIVE,Culture,Soutien au spectacle vivant et théâtres,1.0,2026-04-20,llm_gemini
SPL PARIS ET METROPOLE AMENAGEMEN,Logement,Aménagement urbain et logement - SPL Paris & Métropole Aménagement,0.8,2026-02-18,llm_claude
SPLA PARIS BATIGNOLLES AMENAGEMENT,Logement,Société publique locale d'aménagement – ZAC Paris Batignolles,0.8,2026-02-18,llm_claude
SPORTING CLUB DE PARIS,Sport,Club sportif parisien,0.95,2026-02-18,llm_claude
SPORTING CLUB UNIVERS FRANCE,Sport,Club sportif,0.95,2026-02-18,llm_claude
SPORTING CLUB UNIVERSITAIRE DE FRANCE - SCUF,Sport,Club omnisports,1.0,2026-04-20,llm_gemini
SQUARE BANDE CRECHE PARENTALE,Social - Petite enfance,Crèche parentale,0.99,2026-02-18,llm_claude
STADE FRANCAIS,Sport,Club omnisports parisien (Stade Français),0.95,2026-02-18,llm_claude
STADE FRANCAIS PARIS,Sport,"Club sportif omnisports (rugby, etc.)",0.97,2026-02-18,llm_claude
STADE FRANCAIS PARIS SAINT CLOUD,Sport,Club sportif omnisports - Stade Français Paris Saint-Cloud,0.95,2026-02-18,llm_claude
STAGE ENTERTAINMENT FRANCE,Culture,Spectacle vivant et comédies musicales,1.0,2026-04-20,llm_gemini
STATION C,Économie,Incubateur / startup / innovation,0.9,2026-02-18,llm_claude
STE DE REQUALICATION DES,Logement,Société de requalification des quartiers / copropriétés dégradées,0.65,2026-02-18,llm_claude
STE DE RETRAITES CONSEILLERS PA,Administration,Société de retraites des conseillers de Paris,0.88,2026-02-18,llm_claude
STE ECONOMIE MIXTE PARIS COMMERCE,Économie,Société d'économie mixte - commerce parisien,0.92,2026-02-18,llm_claude
STE LIVRAISON OUVRAGES OLYMPIQUES,Sport,Société de livraison des ouvrages olympiques (JO 2024),0.9,2026-02-18,llm_claude
STE REQUALICATION QUARTIER ANCIEN,Logement,Requalification de quartiers anciens / réhabilitation urbaine,0.85,2026-02-18,llm_claude
STRATA J M PARIS,Culture,Compagnie de théâtre / arts de la scène,0.55,2026-02-18,llm_claude
STRATA'J'M PARIS,Éducation,Médiation par le jeu et jeunesse,0.9,2026-04-20,llm_gemini
STUDYSPACE,Éducation,Espaces de travail et vie étudiante,0.85,2026-04-20,llm_gemini
SUBVENTIONS TRANSPORTS ET ACQUISITIONS VEHICULES A ASSISTANCE ELECTRIQUE ET TAXIS HYBRIDES,Transport,Subventions pour transports et acquisition de véhicules à assistance électrique et taxis hybrides,0.95,2026-02-18,llm_claude
SUEZ RV REBOND INSERTION,Social - Solidarité,Insertion par l'activité économique (IAE),1.0,2026-04-20,llm_gemini
SYND COPR 96 BD MASSENA 75013 PARIS,Administration,Syndicat de copropriété - 96 bd Masséna 75013,0.97,2026-02-18,llm_claude
SYND INTERDEP PARC DES SPORTS,Sport,Syndicat interdépartemental du Parc des Sports - gestion d'équipement sportif,0.9,2026-02-18,llm_claude
SYND INTERDEP PARC SPORTS CHOISY,Sport,Syndicat interdépartemental - parc des sports de Choisy,0.9,2026-02-18,llm_claude
SYNDICAT MIXTE AUTOLIB ET VELIB METROPOLE,Transport,Mobilité partagée (Autolib et Vélib Métropole),0.95,2026-02-18,llm_claude
SYNDICAT MIXTE AUTOLIB’ ET VELIB’ METROPOLE,Transport,Mobilités partagées (Vélib'),1.0,2026-04-20,llm_gemini
SYNDICAT MIXTE EAUX DE L AUVEZERE,Environnement,Gestion des eaux / syndicat mixte,0.8,2026-02-18,llm_claude
SYNDICAT MIXTE EAUX DE L'AUVEZERE,Administration,Syndicat mixte / Institution publique,0.95,2026-04-20,llm_gemini
SYNDICAT TRANSPORT ILE DE FRANCE,Transport,Syndicat des transports (Île-de-France Mobilités / ex-STIF),0.99,2026-02-18,llm_claude
Ste LIVRAISON OUVRAGES OLYMPIQUES,Sport,Infrastructures pour les Jeux Olympiques (SOLIDEO),1.0,2026-04-20,llm_gemini
TABLE DE CANA,Social - Solidarité,Table de Cana - insertion par l'activité économique et aide alimentaire,0.85,2026-02-18,llm_claude
TABLE DU RECHO,Social - Solidarité,Aide alimentaire et lien social (La Table du RECHO),0.9,2026-02-18,llm_claude
TATANE,Sport,Sport citoyen et football,0.95,2026-04-20,llm_gemini
TAXICOP,Transport,Service de taxi / mobilité,0.5,2026-02-18,llm_claude
TEMPS DES RUES,Culture,Arts de rue / spectacle vivant dans l'espace public,0.75,2026-02-18,llm_claude
TERRA,Autre,Nom trop générique pour classification fiable,0.25,2026-02-18,llm_claude
THE 42 AGENCY,Culture,Agence de production artistique / événementiel culturel,0.45,2026-02-18,llm_claude
THE C40 CITIES CLIMATE LEADERSHIP,Environnement,Lutte contre le changement climatique,0.95,2026-04-20,llm_gemini
THE SMALL PROJECTS FUND,International,Coopération internationale et fonds de soutien,0.85,2026-04-20,llm_gemini
THEATRE AUX MAINS NUES,Culture,Théâtre de marionnettes,0.95,2026-02-18,llm_claude
THEATRE DAUNOU,Culture,Théâtre,0.99,2026-02-18,llm_claude
THEATRE DE LA MARIONNETTE  THEATRE MOUFFETARD,Culture,Théâtre et arts de la marionnette,1.0,2026-04-20,llm_gemini
THEATRE DE LA MARIONNETTE A PARIS,Culture,Théâtre et arts de la marionnette,0.97,2026-02-18,llm_claude
THEATRE DE LA MARIONNETTE THEATRE MOUFFETARD,Culture,Théâtre de marionnettes - Théâtre Mouffetard,0.98,2026-02-18,llm_claude
THEATRE DE LA VILLE,Culture,Théâtre,0.99,2026-02-18,llm_claude
THEATRE DU ROND POINT,Culture,Théâtre du Rond-Point - arts vivants,0.99,2026-02-18,llm_claude
THEATRE DU SOLEIL,Culture,Théâtre - Compagnie Ariane Mnouchkine,0.99,2026-02-18,llm_claude
THEATRE MUSICAL DE PARIS,Culture,Théâtre musical (Théâtre du Châtelet),0.97,2026-02-18,llm_claude
THEATRE PARIS 14,Culture,Théâtre,0.99,2026-02-18,llm_claude
THEATRE PARIS VILLETTE,Culture,Théâtre,0.98,2026-02-18,llm_claude
THEATRE SILVIA MONFORT,Culture,Théâtre,0.99,2026-02-18,llm_claude
THEATRE SYLVIA MONFORT,Culture,Théâtre Sylvia Monfort - salle de spectacle et programmation théâtrale,0.99,2026-02-18,llm_claude
TOIT ET JOIE,Logement,Bailleur social / logement social,0.9,2026-02-18,llm_claude
TOWARDS CONSEIL,Économie,Conseil aux entreprises / accompagnement professionnel,0.5,2026-02-18,llm_claude
TRANSITION ECOLOGIQUE FRANCE,Environnement,Transition écologique,1.0,2026-04-20,llm_gemini
TRAVAIL ET PARTAGE,Social - Solidarité,Insertion par le travail et solidarité,0.85,2026-02-18,llm_claude
TRAVAIL ET VIE,Social - Solidarité,Insertion sociale et professionnelle,0.75,2026-02-18,llm_claude
TRESORERIE CENTRE ACTION SOCIALE PA,Social - Solidarité,Centre d'action sociale (CASVP - trésorerie),0.92,2026-02-18,llm_claude
UN TOIT POUR TOI,Social - Solidarité,Hébergement d'urgence / aide au logement pour personnes sans-abri,0.85,2026-02-18,llm_claude
UNE CHORBA POUR TOUS,Social - Solidarité,Aide alimentaire,1.0,2026-04-20,llm_gemini
UNE GOUTTE ORGANISATION PRODUCTION,Culture,Production audiovisuelle et culturelle,0.9,2026-04-20,llm_gemini
UNE NOUVELLE IDEE DE LA CRECHE PARI,Social - Petite enfance,Crèche parentale / innovante à Paris,0.95,2026-02-18,llm_claude
UNION DEFENS SANTE MENTALE REG EST,Santé,Santé mentale,1.0,2026-04-20,llm_gemini
UNION DEPARTE ASS FAMILIAL PARIS,Social - Solidarité,UDAF - Aide aux familles,1.0,2026-04-20,llm_gemini
UNION DEPARTE. ASS FAMILIAL PARIS,Social - Solidarité,Défense des familles et action sociale (UDAF),0.95,2026-04-20,llm_gemini
UNION DEPARTE. ASSOCIATION FAMILIAL PARIS,Social - Solidarité,Défense des familles et action sociale (UDAF),0.95,2026-04-20,llm_gemini
UNION DEPARTEM SYNDICATS CGT FO PA,Administration,Syndicat de salariés (CGT-FO),1.0,2026-04-20,llm_gemini
UNION DEPARTEM. SYNDICATS CGT FO PA,Administration,Syndicat de travailleurs,1.0,2026-04-20,llm_gemini
UNION DEPARTEMEN ASS FAMILIAL PARIS,Social - Solidarité,Défense des intérêts des familles et aide sociale,0.95,2026-04-20,llm_gemini
UNION DEPARTEMENTALE DE PARIS CFE C,Administration,Syndicat CFE-CGC - Union départementale de Paris,0.95,2026-02-18,llm_claude
UNION DEPARTEMENTALE DE PARIS CFE-C,Administration,Syndicat de salariés (CFE-CGC),1.0,2026-04-20,llm_gemini
UNION DEPARTEMENTALE PARIS CFE CGC,Administration,Syndicat CFE-CGC - Union départementale Paris,0.95,2026-02-18,llm_claude
UNION DEPARTEMENTALE PARIS CFE-CGC,Administration,Syndicat de salariés,1.0,2026-04-20,llm_gemini
UNION DEPARTEMENTALE PARIS CFECGC,Administration,Syndicat CFE-CGC - Union départementale Paris,0.95,2026-02-18,llm_claude
UNION DEPARTEMENTALE UNSA DE PARIS,Administration,Syndicat UNSA - union départementale Paris,0.95,2026-02-18,llm_claude
UNION DEPARTENTALE SYNDICAT CFTC PA,Administration,Syndicat CFTC - Union départementale Paris,0.97,2026-02-18,llm_claude
UNION NATIONALE DU SPORT SCOLAIRE,Sport,Sport scolaire - fédération nationale (UNSS),0.92,2026-02-18,llm_claude
UNION SYNDICALE SOLIDAIRES PARIS,Administration,Syndicat - Union Solidaires Paris,0.95,2026-02-18,llm_claude
UNION SYNDICATS CFDT PARIS,Administration,Syndicat de travailleurs,1.0,2026-04-20,llm_gemini
UNION SYNDICATS CGT PARIS,Administration,Syndicat de salariés (CGT),1.0,2026-04-20,llm_gemini
UNIS CITE,Social - Solidarité,Unis-Cité - service civique et engagement solidaire des jeunes,0.9,2026-02-18,llm_claude
UNIS-CITE,Social - Solidarité,Service civique et engagement de la jeunesse,0.9,2026-04-20,llm_gemini
UNIVERSITE DE PARIS,Éducation,Université et recherche,0.99,2026-02-18,llm_claude
UNIVERSITE GUSTAVE EIFFEL,Éducation,Université / enseignement supérieur et recherche,0.99,2026-02-18,llm_claude
UNIVERSITE PARIS 1 PANTHEON SORBONN,Éducation,Université Paris 1 Panthéon-Sorbonne,0.99,2026-02-18,llm_claude
UNIVERSITE PARIS 1 PANTHEON-SORBONN,Éducation,Enseignement supérieur et recherche,1.0,2026-04-20,llm_gemini
UNIVERSITE PARIS CITE,Éducation,Université Paris Cité - enseignement supérieur et recherche,0.99,2026-02-18,llm_claude
UNIVERSITE PARIS DIDEROT PARIS 7,Éducation,Université Paris Diderot (Paris 7),0.98,2026-02-18,llm_claude
UP,Éducation,Université populaire / formation,0.45,2026-02-18,llm_claude
URGENCE JEUNES,Social - Solidarité,Aide d'urgence pour les jeunes en difficulté,0.85,2026-02-18,llm_claude
VENI VERDI,Environnement,Agriculture urbaine et jardins partagés,1.0,2026-04-20,llm_gemini
VERS PARIS SANS SIDA,Santé,Lutte contre le VIH/SIDA,0.97,2026-02-18,llm_claude
VIF TRANSPORT & LOGISTIQUE,Transport,Logistique et mobilité,1.0,2026-04-20,llm_gemini
VILLE DE  BETHLEEM,International,Coopération décentralisée,1.0,2026-04-20,llm_gemini
VILLE DE BETHLEEM,International,Coopération internationale - jumelage avec Bethléem,0.92,2026-02-18,llm_claude
VILLETTE EMPLOI,Économie,Insertion professionnelle et emploi,1.0,2026-04-20,llm_gemini
VILLETTE SERVICE PLUS,Social - Solidarité,Régie de quartier et insertion,0.9,2026-04-20,llm_gemini
VILOGIA SOCIETE ANONYME D HLM,Logement,HLM - logement social,0.98,2026-02-18,llm_claude
VILOGIA SOCIETE ANONYME D'HLM,Logement,Bailleur social HLM,1.0,2026-04-20,llm_gemini
VIVRES,Social - Solidarité,Aide alimentaire et lutte contre la précarité,0.95,2026-04-20,llm_gemini
VOTRE ECOLE CHEZ VOUS,Éducation,Scolarisation à domicile pour enfants malades ou handicapés,1.0,2026-04-20,llm_gemini
VOX'POP COLLECTIVE,Culture,Collectif artistique et musical,0.9,2026-04-20,llm_gemini
WATIZAT,Social - Solidarité,Information et aide aux réfugiés,1.0,2026-04-20,llm_gemini
WEBFORCE3 PARIS,Éducation,Formation professionnelle au numérique,1.0,2026-04-20,llm_gemini
WIMOOV,Transport,Mobilité solidaire,0.95,2026-04-20,llm_gemini
YES WE CAMP,Social - Solidarité,Urbanisme transitoire et inclusion sociale par l'occupation temporaire de lieux,0.65,2026-02-18,llm_claude
YOLO CONSEIL & COACHING,Économie,Accompagnement et coaching professionnel,0.85,2026-04-20,llm_gemini
YOTI PARIS,Social - Solidarité,Inclusion sociale et aide aux publics vulnérables,0.8,2026-04-20,llm_gemini
